,Sol,SCr,VL,G,S,Mlo,M,Ef,Er,T,An,Ncal,Mw,O,P,Am,E
CV,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
PP,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
HT,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
CS,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1
NB,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1
PM,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
EC,0,0,0,1,1,0,1,1,0,0,1,0.5,0,1,1,1,1
CP,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
CL,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1
ET,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0
CC,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
GF,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
RS,0.5,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
ClP,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
PaP,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ZL,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
TP,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
